Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2013,Gender Trouble: Feminism and the Subversion of Identity (Thinking Gender Series),Judith Butler,176,academic,womens studies,,,,,
,2013,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,177,fiction,,,,,,
,2013,Pleasure and Danger: Exploring Female Sexuality,Editor/ Carol S Vance,178,academic,womens studies,,,,,
,2013,VISIONS OF TECHNOLOGY: A Century Of Vital Debate About Machines Systems And The Human World (Sloan Technology),Richard Rhodes,179,academic,technology,,,,,
,2013,Communication Theory,C. David Mortensen,180,academic,communication studies,,,,,
,2013,The Philosophy of Literary Form,Kenneth Burke,181,academic,literary criticism,,,,,
,2013,Dark Light: Electricity and Anxiety from the Telegraph to the X-ray,Linda Simon,182,academic,technology,,,,,
,2013,The Press of Ideas: Readings for Writers on Print Culture and the Information Age,Julie Bates Dock,183,teaching,,,,,,
,2013,The Presentation of Self in Everyday Life,"Goffman, Erving",184,academic,sociology,,,,,
,2013,"Elements of Literature 3: Fiction, Poetry, Drama","Robert Scholes, et al",185,academic,literary criticism,,,,,
,2013,Marriages and Infidelities,Joyce Carol Oates,186,fiction,,,,,,
,2013,The Evidence of Things Not Seen,James Baldwin,187,fiction,,,,,,
,2013,Cassandra: A Novel and Four Essays,"Christa Wolf, Jan Van Heurck",188,fiction,,,,,,
,2013,The Pale King,David Foster Wallace,189,fiction,,,,,,
,2013,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,190,fiction,,,,,,
,2013,"Simians, Cyborgs, and Women: The Reinvention of Nature",Donna J. Haraway,191,academic,technology,,,,,
,2013,Science and Society (A Longman Topics Reader),Richard W. Grinnell,192,teaching,,,,,,
,2013,Text Book: An Introduction to Literary Language,"Scholes, Robert",193,academic,literary criticism,,,,,
,2013,ELEMENTS OF FICTION >CANADIAN,Robert Scholes,194,academic,literary criticism,,,,,
,2013,Literacy in historical perspective,"Resnick, Daniel Philip",195,academic,literary criticism,,,,,
,2013,The Revolution Will Not Be Microwaved: Inside America's Underground Food Movements,"Katz, Sandor Ellix",196,food,,,,,,
,2013,"Story of My Life: The Autobiography of George Sand (Suny Series, Women Writers in Translation)",George Sand,197,fiction,,,,,,
,2013,"Olives and Oranges: Recipes and Flavor Secrets from Italy, Spain, Cyprus, and Beyond","Jenkins, Sara",198,cookbook,,,,,,
,2013,"The Senses of Modernism: Technology, Perception, and Aesthetics","Danius, Sara",199,academic,literary criticism,,,,,
,2013,Poetries: Their Media and Ends,"Richards, I. A.",200,academic,literary criticism,,,,,
,2013,"Practical Criticism: A Study of Literary Judgment (Harvest, HB16)",I. A. Richards,201,academic,literary criticism,,,,,
,2013,The Philosophy of Rhetoric (Galaxy Books),"Richards, I. A.",202,academic,literary criticism,,,,,
,2013,Principles of Literary Criticism,"Richards, I. A.",203,academic,literary criticism,,,,,
,2013,Aesthetics and Technology in Building,"Nervi, Pier Luigi",204,architecture,,,,,,
,2013,Laurence Sterne's Tristram Shandy: A Casebook (Casebooks in Criticism),"Keymer, Thomas",205,academic,literary criticism,,,,,
,2013,"Forms and Meanings: Texts, Performances, and Audiences from Codex to Computer (New Cultural Studies)","Chartier, Roger",206,academic,book history,,,,,
,2013,The Best American Essays 2007,"Wallace, David Foster",207,essays,,,,,,
,2013,The Oxford Book of Caribbean Short Stories,"Brown, Stewart",208,teaching,,,,,,
,2013,Photography: A Critical Introduction,"Wells, Liz",209,photography,,,,,,
,2013,"The Senses of Modernism: Technology, Perception, and Aesthetics","Danius, Sara",210,academic,literary criticism,,,,,
,2013,"Communication as Culture, Revised Edition: Essays on Media and Society (Media and Popular Culture)","Carey, James W.",211,academic,communication studies,,,,,
,2013,On the Margins of Discourse : The Relation of Literature to Language,Barbara H. Smith,212,academic,literary criticism,,,,,
,2013,"Samuel Johnson and the Impact of Print: (Originally published as Printing Technology, Letters, and Samuel Johnson)","Kernan, Alvin B.",213,academic,literary criticism,,,,,
,2013,Histories: French Constructions of the Past : Postwar French Thought,"Revel, Jacques",214,academic,history,,,,,
,2013,A History of Reading in the West (Studies in Print Culture and the History of the Book),"Cavallo, Guglielmo",215,academic,literary criticism,,,,,
